1
59 737
35 42 86
35 46 1
35 47 51
35 49 21
35 52 28
35 55 95
35 56 87
36 39 73
36 44 32
36 46 100
36 48 47
36 50 2
36 54 43
36 55 17
37 38 28
37 40 49
37 43 1
37 45 46
37 47 7
37 50 27
37 54 89
38 39 91
38 41 86
38 43 59
38 49 82
38 54 29
38 55 53
39 41 84
39 43 99
39 44 28
39 45 79
39 47 82
39 51 45
39 52 33
39 53 96
39 54 21
39 55 50
39 58 35
40 42 7
40 44 99
40 46 14
40 48 74
40 49 52
40 50 96
40 51 74
40 52 23
40 54 83
40 56 63
41 44 37
41 45 65
41 50 29
41 51 6
41 52 19
41 53 83
41 54 10
41 58 88
42 43 46
42 44 83
42 45 84
42 46 38
42 47 46
42 50 55
42 55 48
42 57 92
43 48 60
43 49 26
43 53 38
43 56 26
43 57 27
44 45 57
44 48 69
44 49 70
44 51 63
44 52 66
44 53 43
44 55 87
44 56 89
45 48 85
45 50 90
45 53 59
45 58 2
46 48 5
46 49 1
46 50 73
46 51 7
46 52 97
46 53 53
46 54 42
46 55 61
46 56 52
47 48 51
47 49 65
47 50 46
47 52 77
48 50 44
48 57 68
49 51 76
49 52 31
49 54 46
49 55 45
50 51 9
50 52 37
50 54 39
50 55 81
50 57 2
51 57 25
51 58 71
52 54 60
53 58 60
54 55 2
54 56 39
55 56 1
55 58 92
56 57 34
56 58 70
